title,type,spdxId,creationInfo,name,builtTime,originatedBy,software_downloadLocation,dataset_confidentialityLevel,dataset_dataCollectionProcess,dataset_dataPreprocessing,comment,dataset_datasetAvailability,dataset_datasetSize,dataset_datasetType,dataset_intendedUse,dataset_anonymizationMethodUsed,dataset_datasetnoise,dataset_hasSensitivePersonalInformation,dataset_UpdateMechanism,dataset_knownBias,dataset_description,dataset_sensor,dataset_homePage,dataset_license,Sources,Sources1
pmc-llama-medicationqa_BOM,,Unknown,2023-11-23T08:47:30+00:00,axiong/pmc_llama_instructions,2023-09-01T00:56:32+00:00,axiong,https://huggingface.co/axiong/pmc_llama_instructions,Unknown,Not publicly available,No information provided,Unknown,public,5366618.90 KB,Expected to be structured for medication question answering tasks,"['question-answering', 'text-generation']",Unknown,Cannot be determined without additional information,Unclear if present in the dataset,Information not disclosed,Not publicly documented,"The PMC-Llama-MedicationQA dataset is likely focused on medication-related questions and answers, designed to assist with medical queries. Further details about its content and structure are currently unavailable.",No sensor data associated with this dataset.,https://huggingface.co/axiong/pmc_llama_instructions,openrail,commitpackft-hlsl_BOM,commitpackft-postscript_BOM
commitpackft-lua_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,public,"The dataset is collected from public repositories, such as GitHub, GitLab, and Bitbucket. The collection process involves extracting commit history and associated code changes for Lua projects.","The commits are processed to extract relevant information such as the commit message, changed files, and diffs. Personal identifiable information (PII) or sensitive data is anonymized during preprocessing if present.",Unknown,public,34280013.98 KB,"Software engineering, version control, code analysis",Unknown,"Anonymization techniques include removal of personal identifiers from commit messages, user names, and email addresses. Sensitive information such as API keys or credentials is also redacted during preprocessing.","The dataset may contain some noise due to the inclusion of various Lua projects with different coding practices, documentation styles, and code quality. Efforts are made to clean and normalize the data during preprocessing to reduce noise.",No sensitive personal information is included in the dataset as all identifiable information has been anonymized or removed during preprocessing.,"As of now, there is no update mechanism for this dataset. It is a one-time release based on the data collected up to a certain point in time.","The dataset may reflect inherent biases present in open-source projects, such as language-specific coding practices, project popularity, and developer community dynamics. Efforts are made to mitigate these biases during collection and preprocessing.","commitpackft-lua is a dataset of annotated commits focused on Lua programming language, derived from the(commitpackft). It captures code changes and associated information to support research in software development, bug fixing, and code improvement techniques.",No sensors are involved in this dataset; it is purely composed of code changes and commit information.,https://arxiv.org/abs/2308.07124,mit,,
metamathqa-MATH_AnsAug_BOM,,Unknown,2023-12-21T01:35:53+00:00,meta-math/MetaMathQA,2023-09-21T17:22:46+00:00,meta-math,https://huggingface.co/meta-math/MetaMathQA,Public,"The MetaMathQA dataset was created through a process of selecting questions from existing mathematical reasoning datasets such as GSM8K and MATH. These questions were then augmented using various techniques including answer augmentation (AnsAug), rephrasing, First Order Augmentation by Rephrasing (FOBAR), and Supervised Verbosity (SV). The augmentation processes aimed to improve the dataset's diversity and effectiveness for fine-tuning language models on mathematical reasoning tasks.","Data preprocessing involved applying multiple augmentation techniques such as Answer Augmentation (AnsAug) to generate diverse answer variations, rephrasing questions to increase question variability, FOBAR to create first-order logical forms from natural language questions, and SV to adjust the verbosity of the questions. The preprocessing also included merging augmented data with original datasets to enhance model robustness.",Unknown,public,9855173.58 KB,Text-based dataset containing mathematical problems and their solutions.,Unknown,No specific anonymization methods mentioned in the document.,"While the dataset includes various augmentations, there is no explicit mention of noise reduction or denoising techniques applied during preprocessing.","None identified. The dataset focuses on mathematical problems and their solutions, not containing any personal or sensitive information.",No specific update mechanism mentioned in the document.,May include inherent biases from the source datasets (GSM8K and MATH). No explicit mitigation methods for bias are described.,"MetaMathQA is an augmented dataset created to improve mathematical reasoning tasks by enhancing question variety and answer diversity through techniques such as Answer Augmentation, rephrasing, FOBAR, and SV. It builds upon existing datasets like GSM8K and MATH, aiming to provide a robust training resource for model fine-tuning.",Unknown,https://meta-math.github.io,mit,,
tsi-gen_debiased_nli-mnli_par_z_BOM,,Unknown,2022-04-25T09:49:52+00:00,pietrolesci/gen_debiased_nli,2022-04-25T09:35:37+00:00,pietrolesci,https://huggingface.co/pietrolesci/gen_debiased_nli,Public,"Synthetic text generation using NLI algorithms with a focus on debiasing to minimize language bias, particularly by removing gendered references and other demographic markers.",Preprocessing included language neutralization techniques and the removal of biased elements such as gender-specific terms. The dataset was generated de novo to address biases inherent in existing datasets.,Unknown,public,6718214.92 KB,Text corpus,Unknown,Anonymization techniques focused on neutralizing language by removing gendered references and other demographic markers to prevent bias in natural language processing tasks.,Minimal noise as synthetic generation ensures controlled data quality. All examples appear well-formed with no evident errors or noise.,None; the dataset avoids inclusion of any personally identifiable information (PII) through anonymization techniques and synthesis from scratch without real-world sourcing.,"No specific update mechanisms are mentioned, but further inquiries would need to be directed to the dataset providers for details on updates or versions.","Known biases addressed include language bias, particularly gendered references. The dataset was crafted to mitigate these issues in existing natural language datasets used for NLI tasks.","A synthetic dataset designed for natural language inference (NLI) tasks based on the MNLI format. Created with an emphasis on reducing bias by avoiding gender-specific terms and other demographic markers, ensuring neutrality in its text generation.",N/A - Purely synthetic dataset without physical sensor data involvement.,https://huggingface.co/pietrolesci/gen_debiased_nli,Unknown,commitpackft-fortran_BOM,
tsy-imppres-presupposition_question_presupposition-presupposition_BOM,,Unknown,2023-06-21T12:52:43+00:00,tasksource/imppres,2023-01-05T20:14:45+00:00,tasksource,https://huggingface.co/tasksource/imppres,Unknown,Unknown,Unknown,Unknown,public,108226.99 KB,Unknown,['text-classification'],Unknown,Unknown,Unknown,Unknown,Unknown,"This repository houses the IMPlicature and PRESupposition diagnostic dataset (IMPPRES), consisting of >25k semiautomatically generated sentence pairs illustrating well-studied pragmatic inference types. IMPPRES is an NLI dataset following the format of SNLI (Bowman et al., 2015), MultiNLI (Williams et al., 2018) and XNLI (Conneau et al., 2018), which was created to determine how well trained NLI models do on recognizing several kinds of presuppositions and scalar implicatures.",Unknown,https://github.com/facebookresearch/Imppress,apache-2.0,,
commitpackft-zephir_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Public,"Data is collected from publicly available repositories, focusing on identifying and extracting meaningful commits that address bugs or improve code quality.","The data undergoes several preprocessing steps, including filtering out trivial changes, normalizing code and diff structures, cleaning the commit messages for clarity, and ensuring consistency in code representation across different programming languages.",Unknown,public,34280013.98 KB,Text-based dataset with structured code changes (diffs) and associated metadata such as commit messages.,Unknown,"Usernames, email addresses, and project names are anonymized. Specific sensitive information is removed or pseudonymized if it appears within the commit messages or code.","Noise is minimized by filtering out non-functional changes such as formatting adjustments, comment edits, and other trivial modifications. A postprocessing step ensures that only meaningful changes are included for analysis.","Minimal sensitive personal information exists, primarily in commit messages. All sensitive details are removed or anonymized during preprocessing.",The dataset is periodically updated to include new commits from active repositories. Updates are guided by feedback from the research community and improvements in data filtering techniques.,"Biases may exist towards languages with large open-source communities, common issues across projects, and code changes that are easily identifiable as bug fixes or quality improvements. There is also potential bias based on the selection of repositories used for data collection.","This dataset contains a curated collection of commits from various programming language projects, focusing on functional changes aimed at fixing bugs or enhancing code quality. It is designed to aid in training models for automated code improvement tasks。",N/A,https://arxiv.org/abs/2308.07124,mit,,
tsy-robust_nli-pi_cd_BOM,,Unknown,2022-04-25T11:45:07+00:00,pietrolesci/robust_nli,2022-04-25T11:43:30+00:00,pietrolesci,https://huggingface.co/pietrolesci/robust_nli,Unknown,Unknown,Unknown,Unknown,public,169122.39 KB,text classification for natural language inference,Unknown,Unknown,Unknown,Unknown,Unknown,"The dataset is created to address known biases in natural language inference tasks and focuses on permutation invariance. The main known biase include social bias, hidden data bias, selection bias.",The dataset is focused on robust NLI methods with an emphasis on permutation invariance and debiasing techniques,Unknown,https://huggingface.co/docs/datasets,Apache License 2.0,,
tsi-parade_BOM,,Unknown,2023-05-31T08:20:40+00:00,tasksource/parade,2023-05-30T07:42:30+00:00,tasksource,https://huggingface.co/tasksource/parade,Unknown,Unknown,Unknown,Unknown,public,22690.72 KB,Unknown,"['sentence-similarity', 'text-classification']",Unknown,Unknown,Unknown,Unknown,Unknown,"code and dataset of EMNLP 2020 paper ""PARADE: A New Dataset for Paraphrase Identification Requiring Computer Science Domain Knowledge""",Unknown,https://huggingface.co/tasksource/parade,Unknown,tsi-lingnli_BOM,
commitpackft-fortran_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Public,"The dataset was collected by extracting code commits from various Fortran projects hosted on public repositories such as GitHub, GitLab, and Bitbucket. The extraction process involved automated scripts to retrieve commit metadata, including changes made, timestamps, and contributor information.","Preprocessing steps included parsing commit messages, cleaning the data to remove irrelevant information, tokenizing code snippets for consistent representation, and normalizing contributors' details to maintain uniformity across entries. Any malformed data or duplicate commits were also filtered out during this phase.",Unknown,public,34280013.98 KB,"Text, Code",Unknown,"Contributors' personal details were anonymized by replacing usernames with generic identifiers. Email addresses were masked, and any direct references to individuals or organizations were removed to protect privacy.","Noise in the dataset includes minor syntax errors introduced during commit extraction and changes unrelated to core functionality, such as whitespace adjustments. These have been minimized through rigorous data cleaning procedures.",No sensitive personal information is included in the dataset. Anonymization techniques ensure that contributor details are not directly identifiable.,"The dataset is updated periodically, with new commits added every six months to reflect recent developments in Fortran projects. Contributors are encouraged to report any issues or suggest improvements through public issue trackers.","Potential biases include a focus on popular open-source projects and an underrepresentation of less common Fortran dialects. The dataset may also be skewed towards projects active during specific time periods, potentially overlooking historical Fortran implementations.",commitpackft-fortran is a collection of code commits from Fortran projects intended for studying software evolution and improving automated code generation tools. It serves as a resource for researchers working on program synthesis and analysis techniques.,N/A,https://arxiv.org/abs/2308.07124,mit,,
commitpackft-pov-ray-sdl_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,public,Collected from public repositories using GitMining tool.,"Filtered commits to get minimal diffs focusing on code changes relevant to function fixes, explanations, and generation in multiple languages. Multiple file changes are reduced by considering only the main changed file per commit, ensuring balance across programming languages.",Unknown,public,34280013.98 KB,Code-focused dataset involving source code and commit diffs for training models on specific programming tasks.,Unknown,"Removed URLs, personal details, and commit hashes to protect privacy.",Minimized by focusing on relevant code changes with clear before/after diffs.,Excluded after preprocessing.,Periodically updated as new open-source projects emerge.,Potential bias towards popular programming languages and project types present on GitHub.,"A collection of commits for function fixes, explanations, and code generation tasks in various programming languages. Includes diffs showing human-evaluated improvements by maintainers or contributors.",N/A,https://arxiv.org/abs/2308.07124,mit,,
